feature,importance
y_roll_mean_12,6.434515766192391
cpi_lag_1,6.201616467427974
cpi_lag_3,6.062719076434884
industrial_production_index_lag_2,5.099614121458251
exrate_zar_usd_lag_1,4.535616607276182
y_lag_3,4.174809122883744
exrate_zar_usd_lag_3,4.015516703961931
cpi_lag_2,4.011103832863828
y_lag_6,3.3032885015357683
price_lag_3,2.8527164698214786
price_roll_std_6,2.841041441070604
month_9,2.7553571828465078
y_roll_mean_6,2.7401485820962117
y_pct_change_12,2.70679863015175
y_roll_mean_3,2.5525328176908286
price_lag_2,2.5333350717880445
price_lag_4,2.4846927273316344
price_roll_mean_6,2.3748963499139446
price_lag_5,2.2007977683312046
industrial_production_index_lag_1,2.1812849215406933
industrial_production_index_lag_3,2.0702356054077655
y_roll_std_3,1.9741990247351353
price_roll_mean_12,1.8978117208319087
y_roll_std_6,1.832911174308151
y_level,1.7545536591782689
price_pct_change_1,1.7506739640118474
exrate_zar_usd_lag_2,1.7039685525636759
y_pct_change_1,1.600330111413647
price_lag_6,1.4680368546348674
price_roll_std_12,1.467113033396468
