feature,importance
y_level,370.0
y_pct_change_12,351.0
y_pct_change_1,327.0
y_roll_std_3,254.0
price_roll_std_12,245.0
y_lag_12,239.0
y_roll_std_6,237.0
y_roll_std_12,229.0
price_roll_std_6,224.0
price_roll_std_3,222.0
price_pct_change_1,210.0
y_lag_3,206.0
y_roll_mean_3,193.0
y_lag_6,179.0
industrial_production_index_lag_2,178.0
price_pct_change_12,175.0
industrial_production_index_lag_1,168.0
price_lag_5,154.0
y_lag_1,135.0
y_roll_mean_12,134.0
y_roll_mean_6,123.0
price_lag_6,116.0
price_lag_3,116.0
industrial_production_index_lag_3,86.0
price_roll_mean_12,76.0
price_lag_1,64.0
price_lag_4,59.0
price_roll_mean_6,54.0
price_lag_2,52.0
cpi_lag_1,50.0
