feature,importance
price_roll_std_6,5.951814744201813
y_lag_12,4.708580350746301
y_level,4.2008154752623135
price_roll_std_12,4.115957772374483
y_pct_change_12,3.9746356478760956
y_lag_6,3.962196407374838
price_lag_1,3.9261875255114664
price_roll_std_3,3.859413962051501
price_pct_change_1,3.833771756732074
y_lag_3,3.8324208674592577
price_pct_change_12,3.1838090769084118
y_roll_mean_12,3.152645388486211
y_roll_mean_3,2.9865344402930463
y_roll_mean_6,2.8675546327930586
y_roll_std_6,2.8614243789298346
y_roll_std_3,2.732044957614007
price_roll_mean_6,2.625675153061641
y_roll_std_12,2.558602835864798
price_lag_3,2.3485041739374104
exrate_zar_usd_lag_2,2.337552096186728
y_pct_change_1,2.3325638193474787
y_lag_1,2.2088101895354333
exrate_zar_usd_lag_3,2.007104357168189
price_lag_4,1.8901516816521118
cpi_lag_1,1.8670930094000415
industrial_production_index_lag_3,1.8434906068803905
price_lag_6,1.7594537374340513
price_roll_mean_3,1.7253506610147173
cpi_lag_2,1.7104553015782604
price_roll_mean_12,1.5921777176578287
