feature,importance
price_pct_change_1,419.0
y_lag_12,302.0
y_roll_std_3,292.0
price_roll_std_6,272.0
y_level,267.0
y_lag_3,253.0
price_lag_5,216.0
price_lag_6,215.0
price_roll_std_3,213.0
price_roll_std_12,202.0
price_lag_4,201.0
industrial_production_index_lag_2,193.0
y_pct_change_1,192.0
industrial_production_index_lag_3,187.0
y_roll_std_6,172.0
price_lag_3,150.0
y_roll_mean_3,148.0
y_pct_change_12,145.0
price_roll_mean_12,142.0
y_lag_6,141.0
y_roll_std_12,139.0
y_lag_1,137.0
price_pct_change_12,121.0
industrial_production_index_lag_1,119.0
price_roll_mean_6,84.0
price_lag_1,67.0
price_roll_mean_3,62.0
y_roll_mean_12,62.0
price_lag_2,43.0
exrate_zar_usd_lag_3,40.0
