feature,importance
y_roll_mean_6,306.0
y_roll_std_3,290.0
y_roll_std_6,281.0
y_lag_6,279.0
y_lag_1,264.0
y_lag_3,263.0
price_pct_change_1,258.0
price_roll_std_6,250.0
y_pct_change_12,227.0
price_pct_change_12,213.0
price_roll_std_12,208.0
y_pct_change_1,206.0
price_lag_6,204.0
industrial_production_index_lag_3,198.0
y_roll_std_12,164.0
y_level,149.0
industrial_production_index_lag_2,134.0
price_roll_std_3,131.0
price_lag_5,117.0
price_lag_3,110.0
y_roll_mean_3,108.0
industrial_production_index_lag_1,95.0
y_lag_12,90.0
price_roll_mean_12,87.0
y_roll_mean_12,80.0
exrate_zar_usd_lag_3,69.0
price_lag_2,64.0
price_lag_4,62.0
price_roll_mean_6,52.0
price_lag_1,50.0
