feature,importance
cpi_lag_2,8.881868411363389
y_level,7.78070725948391
y_roll_mean_12,7.723649365064517
exrate_zar_usd_lag_1,6.042429800022106
exrate_zar_usd_lag_2,5.569291678817227
cpi_lag_3,4.543552576237915
cpi_lag_1,4.460878073232376
price_roll_mean_6,3.769398897694151
y_roll_mean_3,3.5924031438678656
industrial_production_index_lag_2,3.478897554064554
industrial_production_index_lag_1,3.3900391474134692
y_lag_3,3.2165341811758745
y_lag_1,3.0908267267398637
exrate_zar_usd_lag_3,2.948129746762656
y_roll_mean_6,2.894159981518907
price_lag_6,2.806640119945291
price_lag_4,2.2553129917450194
y_lag_12,2.03893315637833
price_roll_mean_12,1.9705776346878545
price_lag_1,1.8359995023119224
price_lag_3,1.5643003783861544
price_roll_std_12,1.4135406108921005
y_lag_6,1.243762178164061
price_lag_2,1.2276478110834965
price_roll_std_6,1.197991309497112
price_roll_mean_3,1.1566981591794527
y_pct_change_12,1.0716115508725335
y_pct_change_1,1.022780447793925
price_pct_change_12,0.9822708172814679
industrial_production_index_lag_3,0.9645230880679416
