feature,importance
price_roll_std_6,400.0
price_pct_change_1,356.0
y_pct_change_12,347.0
price_roll_std_3,339.0
y_roll_std_3,275.0
y_pct_change_1,269.0
price_roll_std_12,241.0
industrial_production_index_lag_1,221.0
y_roll_std_6,204.0
industrial_production_index_lag_2,196.0
y_level,188.0
y_lag_3,173.0
y_lag_12,168.0
price_pct_change_12,166.0
industrial_production_index_lag_3,156.0
y_lag_6,147.0
exrate_zar_usd_lag_1,144.0
y_roll_std_12,142.0
price_lag_3,139.0
y_roll_mean_6,137.0
price_lag_4,115.0
price_lag_6,104.0
exrate_zar_usd_lag_2,95.0
price_lag_1,87.0
price_roll_mean_3,69.0
y_lag_1,59.0
price_lag_5,58.0
exrate_zar_usd_lag_3,46.0
price_lag_2,45.0
price_roll_mean_12,41.0
