feature,importance
y_pct_change_1,7.630309700809369
y_roll_std_12,6.240074472524097
price_roll_mean_3,5.350125638381177
y_roll_std_6,4.040078226220458
y_lag_1,3.893366752892758
cpi_lag_3,3.7275653567475207
y_lag_12,3.5345620671243423
y_roll_mean_3,3.320282730985126
industrial_production_index_lag_1,3.2918474668386497
price_roll_mean_6,3.248947436205466
price_roll_mean_12,3.143571502529033
y_lag_3,3.1426302413563088
y_roll_std_3,3.115568023713014
y_pct_change_12,2.9885470413161728
price_lag_3,2.9224721574526282
exrate_zar_usd_lag_1,2.9033589360392074
industrial_production_index_lag_2,2.600175204319049
exrate_zar_usd_lag_3,2.5270314879735123
y_level,2.3991383404750573
exrate_zar_usd_lag_2,2.318043429173375
price_lag_2,2.237608228101303
y_roll_mean_6,2.230681159492039
cpi_lag_1,2.1925414103401897
cpi_lag_2,2.1782577167530826
industrial_production_index_lag_3,2.0993624082093683
month_6,1.8356005542225518
price_lag_4,1.801102806768957
y_roll_mean_12,1.6612370858833025
price_lag_1,1.655161419762445
y_lag_6,1.5373136657569602
