feature,importance
price_roll_std_12,484.0
y_roll_std_3,418.0
y_roll_std_12,330.0
y_lag_12,312.0
y_pct_change_1,303.0
y_roll_mean_3,293.0
industrial_production_index_lag_3,280.0
y_lag_6,280.0
y_lag_1,238.0
y_roll_std_6,221.0
y_level,218.0
price_roll_mean_12,217.0
y_lag_3,202.0
industrial_production_index_lag_1,197.0
price_roll_std_6,188.0
y_pct_change_12,181.0
industrial_production_index_lag_2,154.0
y_roll_mean_6,136.0
y_roll_mean_12,115.0
price_lag_6,85.0
price_pct_change_12,78.0
price_roll_std_3,65.0
price_roll_mean_3,64.0
price_lag_3,60.0
price_lag_4,57.0
price_lag_2,38.0
exrate_zar_usd_lag_1,34.0
exrate_zar_usd_lag_3,27.0
cpi_lag_3,27.0
price_roll_mean_6,27.0
