feature,importance
price_roll_mean_12,0.18661753833293915
price_lag_5,0.12717995047569275
cpi_lag_1,0.0991516038775444
price_roll_std_12,0.03866218030452728
y_roll_mean_12,0.03758592531085014
month_6,0.0353679358959198
price_lag_4,0.0344199575483799
exrate_zar_usd_lag_2,0.03426382690668106
price_lag_6,0.02898545190691948
month_3,0.027466097846627235
exrate_zar_usd_lag_1,0.027156973257660866
month_1,0.025400714948773384
industrial_production_index_lag_1,0.023781411349773407
price_roll_std_6,0.02249099500477314
cpi_lag_2,0.017093848437070847
y_roll_mean_6,0.016911733895540237
price_roll_mean_3,0.015655402094125748
y_roll_std_12,0.015352725982666016
industrial_production_index_lag_3,0.014386089518666267
industrial_production_index_lag_2,0.013678178191184998
month_8,0.013501495122909546
y_level,0.011568864807486534
month_7,0.009753367863595486
y_roll_mean_3,0.009009339846670628
price_pct_change_1,0.008582333102822304
y_lag_3,0.007947955280542374
price_lag_1,0.007276436313986778
y_lag_6,0.007215557154268026
price_roll_std_3,0.007017347030341625
y_pct_change_12,0.006831941660493612
