feature,importance
y_pct_change_12,402.0
y_roll_std_3,384.0
y_roll_std_6,384.0
industrial_production_index_lag_2,361.0
y_pct_change_1,307.0
y_roll_std_12,303.0
price_roll_std_12,302.0
y_lag_3,263.0
y_lag_6,255.0
y_level,207.0
y_lag_1,205.0
y_lag_12,203.0
industrial_production_index_lag_3,172.0
price_roll_mean_6,163.0
exrate_zar_usd_lag_2,138.0
industrial_production_index_lag_1,113.0
price_lag_3,101.0
y_roll_mean_6,98.0
y_roll_mean_12,94.0
y_roll_mean_3,93.0
price_roll_std_6,86.0
price_roll_mean_12,86.0
price_lag_5,76.0
price_pct_change_12,53.0
cpi_lag_2,51.0
price_lag_4,42.0
cpi_lag_3,36.0
price_roll_mean_3,35.0
price_lag_1,34.0
cpi_lag_1,30.0
