mineral,horizon,date,naive,historical_mean,arima,sarima,sarimax,random_forest,xgboost,lightgbm,catboost
Gold,3,2000-12-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2001-01-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2001-02-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2001-03-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2001-04-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2001-05-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2001-06-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2001-07-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2001-08-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2001-09-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2001-10-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2001-11-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2001-12-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2002-01-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2002-02-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2002-03-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2002-04-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2002-05-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2002-06-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2002-07-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2002-08-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,3,2002-09-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,6,2000-09-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,6,2000-10-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,6,2000-11-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,6,2000-12-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,6,2001-01-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,6,2001-02-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,6,2001-03-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,6,2001-04-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,6,2001-05-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,6,2001-06-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,6,2001-07-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,6,2001-08-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,6,2001-09-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,6,2001-10-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,6,2001-11-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,6,2001-12-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,6,2002-01-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,6,2002-02-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Gold,6,2002-03-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
