mineral,horizon,model,rmse,mae,smape,directional_accuracy,skill_rmse_vs_naive,n
Coal,3,catboost,3.86,2.94,3.46,0.64,0.15,22
Coal,6,lightgbm,3.88,2.77,3.26,0.82,0.33,22
Coal,12,catboost,3.83,3.01,3.53,0.81,0.17,21
Copper,3,random_forest,46.57,35.82,14.38,0.73,0.41,22
Copper,6,sarima,50.56,40.43,16.05,0.64,0.11,22
Copper,12,sarima,48.16,38.14,15.31,0.71,0.3,21
Gold,3,naive,10.11,8.92,2.36,0.0,0.0,22
Gold,6,naive,16.18,12.65,3.31,0.0,0.0,22
Gold,12,naive,24.39,18.87,4.88,0.0,0.0,21
Iron ore,3,sarima,4.59,3.77,7.72,0.73,0.25,22
Iron ore,6,naive,4.76,4.37,8.91,0.0,0.0,22
Iron ore,12,naive,5.16,3.75,7.76,0.0,0.0,21
